,no-fight,fight,rate,model
0,0.678,0.095,0.1,bernoulliNB
1,0.727,0.4,0.1,svm_poly
2,0.731,0.5,0.1,decision_tree
3,0.727,0.4,0.1,sgd_05
4,0.69,0.182,0.1,randomforest
5,0.727,0.4,0.1,balanced_bag
6,0.755,0.519,0.1,bag_id3
7,0.717,0.444,0.1,adaboost
8,0.755,0.519,0.1,xgboost
9,0.727,0.4,0.1,knn_n1
10,0.811,0.837,0.1,knn_n17
11,0.667,0.174,0.2,bernoulliNB
12,0.776,0.645,0.2,svm_poly
13,0.655,0.24,0.2,decision_tree
14,0.745,0.552,0.2,sgd_05
15,0.679,0.25,0.2,randomforest
16,0.731,0.5,0.2,balanced_bag
17,0.679,0.37,0.2,bag_id3
18,0.642,0.296,0.2,adaboost
19,0.717,0.444,0.2,xgboost
20,0.76,0.6,0.2,knn_n1
21,0.718,0.732,0.2,knn_n17
22,0.8,0.667,0.3,bernoulliNB
23,0.826,0.765,0.3,svm_poly
24,0.8,0.743,0.3,decision_tree
25,0.826,0.765,0.3,sgd_05
26,0.816,0.71,0.3,randomforest
27,0.792,0.687,0.3,balanced_bag
28,0.776,0.645,0.3,bag_id3
29,0.756,0.686,0.3,adaboost
30,0.809,0.727,0.3,xgboost
31,0.809,0.727,0.3,knn_n1
32,0.683,0.667,0.3,knn_n17
33,0.8,0.667,0.4,bernoulliNB
34,0.809,0.727,0.4,svm_poly
35,0.636,0.556,0.4,decision_tree
36,0.792,0.687,0.4,sgd_05
37,0.809,0.727,0.4,randomforest
38,0.792,0.687,0.4,balanced_bag
39,0.792,0.687,0.4,bag_id3
40,0.723,0.606,0.4,adaboost
41,0.809,0.727,0.4,xgboost
42,0.809,0.727,0.4,knn_n1
43,0.85,0.85,0.4,knn_n17
44,0.816,0.71,0.5,bernoulliNB
45,0.851,0.788,0.5,svm_poly
46,0.652,0.529,0.5,decision_tree
47,0.909,0.889,0.5,sgd_05
48,0.833,0.75,0.5,randomforest
49,0.776,0.645,0.5,balanced_bag
50,0.792,0.687,0.5,bag_id3
51,0.681,0.545,0.5,adaboost
52,0.792,0.687,0.5,xgboost
53,0.889,0.857,0.5,knn_n1
54,0.81,0.789,0.5,knn_n17
55,0.851,0.788,0.6,bernoulliNB
56,0.864,0.833,0.6,svm_poly
57,0.756,0.686,0.6,decision_tree
58,0.864,0.833,0.6,sgd_05
59,0.816,0.71,0.6,randomforest
60,0.8,0.667,0.6,balanced_bag
61,0.851,0.788,0.6,bag_id3
62,0.714,0.684,0.6,adaboost
63,0.816,0.71,0.6,xgboost
64,0.78,0.769,0.6,knn_n1
65,0.821,0.829,0.6,knn_n17
66,0.851,0.788,0.7,bernoulliNB
67,0.864,0.833,0.7,svm_poly
68,0.826,0.765,0.7,decision_tree
69,0.884,0.865,0.7,sgd_05
70,0.826,0.765,0.7,randomforest
71,0.75,0.625,0.7,balanced_bag
72,0.844,0.8,0.7,bag_id3
73,0.783,0.706,0.7,adaboost
74,0.809,0.727,0.7,xgboost
75,0.714,0.684,0.7,knn_n1
76,0.811,0.837,0.7,knn_n17
77,0.826,0.765,0.8,bernoulliNB
78,0.864,0.833,0.8,svm_poly
79,0.8,0.743,0.8,decision_tree
80,0.864,0.833,0.8,sgd_05
81,0.826,0.765,0.8,randomforest
82,0.818,0.778,0.8,balanced_bag
83,0.809,0.727,0.8,bag_id3
84,0.783,0.706,0.8,adaboost
85,0.826,0.765,0.8,xgboost
86,0.81,0.789,0.8,knn_n1
87,0.829,0.821,0.8,knn_n17
88,0.809,0.727,0.9,bernoulliNB
89,0.837,0.811,0.9,svm_poly
90,0.682,0.611,0.9,decision_tree
91,0.81,0.789,0.9,sgd_05
92,0.826,0.765,0.9,randomforest
93,0.826,0.765,0.9,balanced_bag
94,0.851,0.788,0.9,bag_id3
95,0.682,0.611,0.9,adaboost
96,0.783,0.706,0.9,xgboost
97,0.718,0.732,0.9,knn_n1
98,0.75,0.75,0.9,knn_n17
99,0.818,0.778,1.0,bernoulliNB
100,0.878,0.872,1.0,svm_poly
101,0.7,0.7,1.0,decision_tree
102,0.842,0.857,1.0,sgd_05
103,0.857,0.842,1.0,randomforest
104,0.818,0.778,1.0,balanced_bag
105,0.87,0.824,1.0,bag_id3
106,0.714,0.684,1.0,adaboost
107,0.81,0.789,1.0,xgboost
108,0.778,0.818,1.0,knn_n1
109,0.829,0.821,1.0,knn_n17
